student_id,age,gender,ethnicity,grade_level,gpa,prev_year_gpa,attendance_rate,prev_year_attendance,math_score,reading_score,disciplinary_incidents,days_suspended,extracurricular_activities,credits_earned,credits_attempted,free_reduced_lunch,parent_education,special_education,english_learner,gifted_talented,school_changes,dropped_out
STU000001,16,M,Other,11,1.76,1.79,0.869,0.738,434,442,0,0,0,66,67,1,Some College,0,0,0,0,0
STU000002,16,M,White,11,3.5,3.79,0.961,1.0,604,631,0,0,1,66,68,0,Bachelor+,0,0,0,1,0
STU000003,17,M,White,12,3.15,2.99,0.872,0.901,485,604,0,0,2,69,69,0,Some College,0,0,1,1,0
STU000004,14,M,White,9,3.5,3.22,1.0,1.0,521,630,0,0,1,53,53,1,Bachelor+,0,0,0,0,1
STU000005,17,F,White,12,2.5,2.35,1.0,0.985,473,455,5,5,3,70,77,0,Less than HS,0,0,0,0,1
STU000006,14,M,Hispanic,9,2.96,3.28,0.881,0.931,521,512,1,1,4,54,56,0,High School,0,0,0,0,0
STU000007,17,M,Other,12,2.66,2.89,0.998,1.0,458,472,1,3,4,74,77,0,High School,1,0,0,0,0
STU000008,17,F,Hispanic,12,2.79,3.35,0.868,0.887,560,518,0,0,2,70,72,1,Less than HS,0,0,0,0,1
STU000009,14,F,Black,9,1.14,1.24,0.929,0.937,378,384,1,3,2,54,56,0,Less than HS,1,1,0,0,0
STU000010,14,M,Hispanic,9,1.36,2.18,0.743,0.748,499,399,3,9,2,52,55,1,High School,0,0,0,0,1
STU000011,16,F,White,11,2.3,2.76,0.914,0.868,496,597,1,0,1,69,70,1,Less than HS,1,0,0,0,0
STU000012,15,F,Black,10,2.31,2.15,1.0,0.994,433,558,1,2,1,61,63,1,Bachelor+,0,0,0,1,1
STU000013,16,F,White,11,2.02,1.64,1.0,0.962,458,484,0,0,0,68,70,0,Some College,0,0,0,0,0
STU000014,16,F,White,11,2.78,2.9,1.0,1.0,511,509,0,0,0,63,63,0,Less than HS,0,1,0,0,0
STU000015,18,M,White,12,1.68,1.84,1.0,1.0,393,404,0,0,1,69,69,0,High School,0,0,0,2,0
STU000016,17,F,Hispanic,12,3.46,3.28,1.0,1.0,609,556,0,0,2,70,71,1,High School,0,0,0,0,0
STU000017,17,F,Hispanic,12,4.0,4.0,0.951,0.907,622,699,0,0,3,75,75,0,Bachelor+,0,0,0,0,0
STU000018,18,M,White,12,1.9,2.08,0.901,0.933,444,475,2,0,1,73,75,1,High School,0,1,0,0,1
STU000019,18,M,Black,12,1.89,1.48,0.891,0.948,498,414,1,0,0,71,72,1,Some College,0,1,0,2,0
STU000020,16,F,White,11,2.11,1.78,0.918,0.956,426,460,0,0,2,69,69,1,Some College,0,1,0,0,0
STU000021,18,M,Black,12,0.75,0.9,0.882,0.992,286,335,4,12,2,71,76,1,Less than HS,1,0,0,0,1
STU000022,15,M,White,10,1.82,2.05,0.781,0.855,356,473,0,0,2,58,60,0,High School,0,0,0,0,0
STU000023,14,F,White,9,3.17,3.75,0.898,0.861,572,582,2,0,4,53,55,1,Some College,1,0,0,0,1
STU000024,15,M,Hispanic,10,2.32,2.66,0.931,0.957,584,579,2,4,1,61,63,0,Less than HS,0,0,0,2,0
STU000025,15,F,Black,10,2.53,2.77,1.0,0.943,519,501,0,0,0,62,62,0,Some College,1,0,0,0,0
STU000026,16,F,White,11,2.73,2.74,0.913,0.889,500,495,0,0,1,64,64,0,Some College,0,0,0,0,0
STU000027,15,F,White,10,2.12,1.94,0.968,1.0,499,434,1,1,2,62,64,1,Less than HS,0,0,0,1,0
STU000028,15,F,White,10,2.05,1.79,0.934,0.934,458,408,1,0,2,59,60,0,High School,0,0,0,0,0
STU000029,16,F,White,11,0.72,0.71,0.824,0.699,259,396,1,3,3,69,72,0,High School,1,0,0,3,1
STU000030,17,M,Other,12,3.4,3.47,1.0,1.0,652,581,0,0,1,72,72,0,Bachelor+,0,0,0,1,0
STU000031,17,M,Black,12,1.73,1.42,0.859,0.878,435,422,2,0,2,72,75,0,Some College,0,0,0,2,1
STU000032,17,M,Hispanic,12,1.85,2.06,0.876,0.987,449,551,2,6,1,74,78,1,High School,0,0,0,0,0
STU000033,15,M,White,10,1.6,2.28,0.929,0.911,388,448,2,0,2,59,63,1,Bachelor+,0,0,1,1,0
STU000034,18,F,White,12,1.87,1.52,0.867,0.833,485,494,3,0,2,74,78,0,Bachelor+,0,0,0,0,1
STU000035,15,F,Asian,10,2.36,2.77,0.864,0.843,510,590,3,6,0,61,64,1,Less than HS,1,1,0,1,1
STU000036,18,M,White,12,1.91,2.23,0.836,0.802,363,291,2,4,0,69,73,0,Bachelor+,0,0,0,0,1
STU000037,14,M,Black,9,4.0,3.96,0.981,1.0,648,653,0,0,1,55,55,1,High School,0,0,1,0,0
STU000038,17,M,Black,12,1.69,2.46,0.89,0.898,444,406,5,0,0,75,82,1,Some College,0,0,0,0,1
STU000039,15,F,Black,10,1.02,1.16,0.901,0.839,315,396,2,2,3,63,65,1,Bachelor+,0,0,1,0,0
STU000040,14,M,Hispanic,9,1.73,1.32,0.994,0.971,428,435,1,1,2,52,53,0,High School,1,0,0,0,0
STU000041,15,M,Asian,10,2.38,2.67,1.0,0.969,511,502,2,0,2,61,64,0,Less than HS,1,0,0,0,0
STU000042,15,M,Black,10,2.93,3.11,0.956,0.88,568,534,0,0,0,60,62,0,Bachelor+,0,1,0,0,0
STU000043,15,F,White,10,2.3,2.89,1.0,1.0,450,493,0,0,3,63,63,0,High School,0,0,0,0,0
STU000044,16,F,Hispanic,11,3.35,2.93,0.857,0.882,530,638,3,3,0,64,69,1,Bachelor+,0,0,1,0,1
STU000045,17,F,White,12,0.58,0.57,0.851,0.825,357,331,0,0,1,71,73,1,Bachelor+,0,0,0,0,0
STU000046,15,F,Other,10,3.36,3.28,0.935,0.891,608,622,0,0,1,63,63,0,High School,0,0,0,0,0
STU000047,17,F,White,12,3.91,3.73,0.851,0.833,644,605,0,0,2,73,74,0,Bachelor+,1,0,0,1,0
STU000048,18,M,Hispanic,12,1.29,1.28,0.939,1.0,406,444,1,3,1,74,77,0,Some College,0,0,0,0,1
STU000049,14,F,White,9,3.64,3.66,1.0,1.0,645,668,0,0,3,55,57,0,Bachelor+,0,1,0,0,0
STU000050,15,F,White,10,2.1,1.98,1.0,0.966,469,464,1,3,0,61,64,0,High School,0,0,0,0,0
STU000051,18,F,White,12,2.04,2.08,0.772,0.749,502,430,4,0,1,73,79,0,Bachelor+,0,0,0,1,1
STU000052,15,M,White,10,3.25,3.21,1.0,1.0,586,539,1,0,4,60,61,1,Some College,0,0,0,0,0
STU000053,14,M,Other,9,3.55,3.4,1.0,0.953,521,576,0,0,3,52,54,0,Bachelor+,0,0,0,0,0
STU000054,14,F,Hispanic,9,2.94,2.66,0.909,0.989,478,605,1,3,1,55,57,0,Some College,0,0,0,3,0
STU000055,17,F,Hispanic,12,4.0,4.0,1.0,0.95,739,594,0,0,0,72,73,1,Less than HS,0,0,0,0,0
STU000056,17,F,White,12,2.59,2.53,0.882,0.948,543,529,2,4,1,71,74,0,Some College,0,0,1,0,0
STU000057,17,F,White,12,1.46,1.43,0.947,0.88,452,564,4,4,1,73,77,0,High School,1,0,1,1,1
STU000058,17,F,White,12,2.77,3.01,0.973,0.982,523,505,1,3,1,70,73,1,Bachelor+,0,0,0,0,0
STU000059,16,F,Hispanic,11,0.54,0.28,0.859,0.945,266,302,3,0,1,63,67,1,Some College,0,0,0,0,1
STU000060,15,M,Hispanic,10,3.77,3.68,0.852,0.871,545,687,0,0,3,60,62,0,Some College,0,0,0,0,0
STU000061,17,M,Black,12,2.77,2.71,0.87,0.92,608,634,0,0,2,69,71,0,Some College,0,0,0,0,0
STU000062,18,M,White,12,0.0,0.33,0.889,0.948,290,200,2,2,2,75,77,0,Bachelor+,0,0,0,0,0
STU000063,15,M,Hispanic,10,2.29,2.25,0.949,0.885,439,529,2,0,0,62,66,0,High School,0,0,0,0,1
STU000064,14,M,White,9,1.29,1.98,1.0,1.0,409,387,3,0,1,55,60,0,Less than HS,0,0,0,1,0
STU000065,18,F,Other,12,0.71,0.58,0.865,0.835,250,303,5,5,2,70,76,1,Some College,1,0,1,0,1
STU000066,18,F,White,12,0.47,0.38,0.853,0.873,273,370,1,0,2,74,75,0,High School,0,0,0,0,0
STU000067,14,M,Hispanic,9,2.32,2.41,0.858,0.823,588,417,2,0,0,55,59,0,Bachelor+,0,0,0,0,1
STU000068,14,F,White,9,1.93,1.44,1.0,1.0,458,416,1,1,1,55,56,1,High School,0,0,0,0,1
STU000069,17,F,White,12,3.59,4.0,0.873,0.9,547,642,1,3,2,72,73,0,Bachelor+,0,0,0,0,0
STU000070,17,M,White,12,1.84,1.76,0.885,0.864,495,445,2,4,3,73,76,0,Some College,0,1,0,0,1
STU000071,14,M,White,9,2.76,2.68,0.946,0.925,521,575,3,0,1,53,57,0,High School,0,0,0,2,0
STU000072,18,F,Black,12,1.37,1.52,0.789,0.792,333,375,1,1,1,75,76,1,Bachelor+,0,0,0,0,1
STU000073,17,M,White,12,2.76,2.73,0.895,0.876,496,615,1,2,0,71,72,1,Less than HS,0,0,0,0,0
STU000074,14,M,Black,9,2.21,2.04,0.976,0.846,556,414,1,1,2,55,56,0,High School,0,0,0,0,0
STU000075,18,F,White,12,2.0,1.96,0.925,0.81,401,518,0,0,0,70,71,0,Less than HS,0,1,0,0,1
STU000076,14,F,Asian,9,2.36,2.37,0.913,0.876,526,447,2,2,2,57,59,0,Some College,1,0,0,0,0
STU000077,18,F,Hispanic,12,2.2,1.67,0.86,0.91,356,412,2,2,0,72,74,0,Bachelor+,0,0,0,0,1
STU000078,17,M,White,12,1.82,1.74,0.983,0.944,434,449,4,8,0,70,76,1,Some College,0,0,1,0,1
STU000079,17,M,White,12,2.69,2.64,1.0,1.0,477,584,3,3,2,69,73,0,High School,1,0,0,0,0
STU000080,16,M,Other,11,2.67,2.56,0.956,0.987,566,527,1,1,0,63,64,0,High School,0,0,0,0,0
STU000081,18,F,White,12,1.7,1.82,0.842,0.828,451,416,1,2,1,71,72,1,Some College,0,0,0,0,0
STU000082,18,M,White,12,0.86,1.61,0.745,0.728,337,403,1,1,1,72,74,0,High School,0,0,0,0,1
STU000083,16,M,Hispanic,11,0.54,0.5,0.833,0.822,259,267,5,0,2,66,73,0,High School,0,0,0,1,1
